H2 Hydrogen
AlI3 Aluminium_Iodide
AL2(SO4)3 Aluminium_Sulfate
Al(NO3)3 Aluminium_Nitrate
AlPO4 Aluminium_Phosphate
C Carbon
CO Carbon_Monoxide
CO2 Carbon_Dioxide / Dry_Ice
H2CO3 Carbonic_Acid
MgC2 Magnesium_Carbide
CaC2 Calcium_Carbide
BaC2 Barium_Carbide
SrC2 Strontium_Carbide
Al4C3 Alluminium_Carbide
Pb Lead
PbO Lead(II)_Oxide
PbO2 Lead(IV)_Oxide
Pb(OH)2 Lead_Hydroxide
PbF2 Lead_Fluoride
PbCl2 Lead_Chloride
PbBr2 Lead_Bromide
PbI2 Lead_Iodide
PbS Lead_Sulfide
PbSO3 Lead_Sulfite
PbSO4 Lead_Sulfate
Pb(NO3)2 Lead_Nitrate
PbCO3 Lead_Carbonate
Pb3(PO4)2 Lead_Phosphate
N2 Nitrogen
N2O Nitrogen(I)_Oxide / Laughing_Gas
NO Nitrogen(II)_Oxide
NO2 Nitrogen(IV)_Oxide
HNO2 Nitrous_Acid
HNO3 Nitric_Acid
dHNO3 Diluted_Nitric_Acid
cHNO3 Concentrated_Nitric_Acid
NH3 Ammonia
NH4OH Ammonium_Hydroxide
NH4F Ammonium_Fluoride
NH4Cl Ammonium_Chloride / Nausadar
NH4Br Ammonium_Bromide
NH4I Ammonium_Iodide
(NH4)2S Ammonium_Sulfide
(NH4)2SO3 Ammonium_Sulfite
(NH4)2SO4 Ammonium_Sulfate
NH4NO3 Ammonium_Nitrate
(NH4)3PO4 Ammonium_Phosphate
(NH4)2CO3 Ammonium_Carbonate
P Phosphorus
P2O3 Phosphorus(III)_Oxide
P2O5 Phosphorus(V)_Oxide
H3PO3 Phosphorous_Acid
H3PO4 Phosphoric_Acid
PH3 Phosphine
O2 Oxygen
S Sulfur
SO2 Sulfur_Dioxide
SO3 Sulfur_Trioxide
H2S Hydrogen_Sulfide
H2SO3 Sulfurous_Acid
H2SO4 Sulfuric_Acid
cH2SO4 Concentrated_Sulfuric_Acid
dH2SO4 Diluted_Sulfuric_Acid
F2 Fluorine
HF Hydroden_Fluoride_/_Hydrofluoric_Acid(aq)
HFO Hypofluorous_Acid
Cl2 Chlorine
HCl Hydroden_Chloride_/_Hydrochloric_Acid(aq)
HClO Hypochlorous_Acid
Br2 Bromine
HBr Hydroden_Bromide_/_Hydrobromic_Acid(aq)
HBrO Hypobromous_Acid
I2 Iodine
HI  Hydroden_Iodide_/_Hydroiodic_Acid(aq)
HIO Hypoiodous_Acid
Cu Copper
Cu2O Copper(I)_Oxide
CuO Copper(II)_Oxide
Cu(OH)2 Copper_Hydroxide
CuF2 Copper_Fluoride
CuCl2 Copper_Chloride
CuBr2 Copper_Bromide
CuS Copper_Sulfide
CuSO4 Copper_Sulfate /  Blue_Vitriol
Cu(NO3)2 Copper_Nitrate
CuCO3 Copper_Carbonate
Cu3(PO4)2 Copper_Phosphate
Ag Silver
Ag2O Silver_Oxide
AgOH Silver_Hydroxide
AgF Silver_Fluoride
AgCl Silver_Chloride
AgBr Silver_Bromide
AgI Silver_Iodide
Ag2S Silver_Sulfide
Ag2SO3 Silver_Sulfite
Ag2SO4 Silver_Sulfate
AgHSO4 Silver_Hydrogen_Sulfate
AgNO3 Silver_Nitrate / Lunar_Caustic
Ag3PO4 Silver_Phopshate
Ag2CO3 Silver_Carbonate
Zn Zinc 
ZnO Zinc_Oxide
Zn(OH)2 Zinc_Hydroxide
ZnF2 Zinc_Fluoride
ZnCl2 Zinc_Chloride
ZnBr2 Zinc_Bromide
ZnI2 Zinc_Iodide
ZnS Zinc_Sulfide
ZnSO3 Zinc_Sulfite
ZnSO4 Zinc_Sulfate / White_Vitriol
Zn(NO3)2 Zinc_Nitrate
ZnCO3 Zinc_Carbonate
Zn3(PO4)2 Zinc(II)_Phosphate
Fe Iron
FeO Iron(II)_Oxide
Fe2O3 Iron(III)_Oxide
Fe3O4 Iron(II,III)_Oxide
Fe(OH)2 Iron(II)_Hydroxide
Fe(OH)3 Iron(III)_Hydroxide
FeF2 Iron(II)_Fluoride
FeCl2 Iron(II)_Chloride
FeBr2 Iron(II)_Bromide
FeI2 Iron(II)_Iodide
FeS Iron(II)_Sulfide
FeSO3 Iron(II)_Sulfite
FeSO4 Iron(II)_Sulfate / Green_Vitriol
Fe(NO3)2 Iron(II)_Nitrate
FeCO3 Iron(II)_Carbonate
Fe3(PO4)2 Iron(II)_Phosphate
FeF3 Iron(III)_ Fluoride
FeCl3 Iron(III)_Chloride
FeBr3 Iron(III)_Bromide
FeI3 Iron(III)_Iodide
Fe2S3 Iron(III)_Sulfide
Fe2(SO4)3 Iron(III)_Sulfate
Fe(NO3)3 Iron(III)_Nitrate
C Methane
C-C Ethane
C-C-C Propane
C-C-C-C N-Butane
C-C[1-C]-C 2-Methylpropane
C-C-C-C-C N-Pentane
C-C[1-C]-C-C 2-Methylbutane
C-C[1-C,2-C]-C 2,2-Dimethylpropane
C=C Ethene
C=C-C Propene
C=C-C-C 1-Butene
C-C=C-C 2-Butene
C=C[1-C]-C Methylpropene
C=C-C-C-C 1-Pentene
C-C=C-C-C 2-Pentene
C=C[1-C]-C-C 2-Methyl-1-Butene
C=C-C[1-C]-C 3-Methyl-1-Butene
C-C[1-C]=C-C-C 2-Methyl-2-Butene
C#C Ethyne
C#C-C Propyne
C#C-C-C 1-Butyne
C-C#C-C 2-Butyne
C#C-C-C-C 1-Pentyne
C-C#C-C-C 2-Pentyne
C#C-C[1-C]-C 3-Methyl-1-Butyne
B Benzene
B[1-C] Methylbenzene / Toluene
B[1-[C-C]] Ethylbenzene
B[1-[C=C]] Phenylethene / Styrene
B[1-Br] Bromobenzene
B[1-Cl] Chlorobenzene
B[1-NO2] Nitrobenzene
B[1-SO3H] Benzenesulfonic_Acid
C[1-Br] Bromomethane
