H2 Hydrogen
NH4OH Ammonium_Hydroxide
NH4F Ammonium_Fluoride
NH4Cl Ammonium_Chloride / Nausadar
NH4Br Ammonium_Bromide
NH4I Ammonium_Iodide
(NH4)2S Ammonium_Sulfide
(NH4)2SO3 Ammonium_Sulfite
(NH4)2SO4 Ammonium_Sulfate
NH4NO3 Ammonium_Nitrate
(NH4)3PO4 Ammonium_Phosphate
(NH4)2CO3 Ammonium_Carbonate
P Phosphorus
PO2 Phosphoric(II)_Oxide
P2O5 Phosphoric(V)_Oxide
H3PO3 Phosphorous_Acid
H3PO4 Phosphoric_Acid
PH3 Phosphine
O2 Oxygen
S Sulfur
SO2 Sulfur_Dioxide
SO3 Sulfur_Trioxide
H2S Hydrogen_Sulfide
H2SO3 Sulfurous_Acid
H2SO4 SUlfuric_Acid
cH2SO4 Concentrated_Sulfuric_Acid
dH2SO4 Dilated_Sulfuric_Acid
F2 Fluorine
HF Hydroden_Fluoride_/_Hydrofluoric_Acid(aq)
HFO Hypofluorous_Acid
Cl2 Chlorine
HCl Hydroden_Chloride_/_Hydrochloric_Acid(aq)
HClO Hypochlorous_Acid
Br2 Bromine
HBr Hydroden_Bromide_/_Hydrobromic_Acid(aq)
HBrO Hypobromous_Acid
I2 Iodine
HI  Hydroden_Iodide_/_Hydroiodic_Acid(aq)
HIO Hypoiodous_Acid
Cu Copper
Cu2O Copper(I)_Oxide
CuO Copper(II)_Oxide
Cu(OH)2 Copper_Hydroxide
CuF2 Copper_Fluoride
CuCl2 Copper_Chloride
CuBr2 Copper_Bromide
CuS Copper_Sulfide
CuSO4 Copper_Sulfate /  Blue_Vitriol
Cu(NO3)2 Copper_Nitrate
CuCO3 Copper_Carbonate
Cu3(PO4)2 Copper_Phosphate
Ag Silver
Ag2O Silver_Oxide
AgF Silver_Fluoride
AgCl Silver_Chloride
AgBr Silver_Bromide
AgI Silver_Iodide
Ag2S Silver_Sulfide
Ag2SO3 Silver_Sulfite
Ag2SO4 Silver_Sulfate
AgNO3 Silver_Nitrate / Lunar_Caustic
